ID;Consommation;Annee;Mois;Jour;Creneau;JourSem;NumSem;temp;cover;hum;dummyJF;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones
2016-01-18-12;64153398213;2016;1;18;12;lundi;3;2,776315789;95,16129032;77,26315789;0;0;0;0;0
2016-01-18-15;61277268329;2016;1;18;15;lundi;3;2,934210526;93,5;80,05263158;0;0;0;0;0
2016-01-18-18;63941163087;2016;1;18;18;lundi;3;2,284210526;96,20689655;82,89473684;0;0;0;0;0
2016-01-18-21;58167145069;2016;1;18;21;lundi;3;1,665789474;93,46428571;86,86842105;0;0;0;0;0
2016-01-19-00;54951930300;2016;1;19;0;mardi;3;1,460526316;95,42857143;88,28947368;0;0;0;0;0
2016-01-19-03;51522600423;2016;1;19;3;mardi;3;1,315789474;96,13793103;88,57894737;0;0;0;0;0
2016-01-19-06;60525371734;2016;1;19;6;mardi;3;1,447368421;93,44117647;88,84210526;0;0;0;0;0
2016-01-19-09;63944466618;2016;1;19;9;mardi;3;2,4;93,02857143;86,76315789;0;0;0;0;0
2016-01-19-12;62693585015;2016;1;19;12;mardi;3;4,486842105;91,77419355;79,81578947;0;0;0;0;0
2016-01-19-15;59414261610;2016;1;19;15;mardi;3;5,007894737;89,24242424;79,21052632;0;0;0;0;0
2016-01-19-18;62719155240;2016;1;19;18;mardi;3;3,463157895;92,4516129;86,89473684;0;0;0;0;0
2016-01-19-21;57263696682;2016;1;19;21;mardi;3;2,668421053;93,84615385;89,81578947;0;0;0;0;0
2016-01-20-00;54185985322;2016;1;20;0;mercredi;3;2,215789474;93,40740741;90,42105263;0;0;0;0;0
2016-01-20-03;50801058006;2016;1;20;3;mercredi;3;1,826315789;97,25925926;90,31578947;0;0;0;0;0
2016-01-20-06;59915216600;2016;1;20;6;mercredi;3;1,481578947;88,17647059;91,39473684;0;0;0;0;0
2016-01-20-09;63569977673;2016;1;20;9;mercredi;3;2,186842105;90,39393939;89,89473684;0;0;0;0;0
2016-01-20-12;61783032956;2016;1;20;12;mercredi;3;4,821052632;89,17241379;79,97368421;0;0;0;0;0
2016-01-20-15;58036711392;2016;1;20;15;mercredi;3;5,494736842;75,03448276;77,28947368;0;0;0;0;0
2016-01-20-18;62357777550;2016;1;20;18;mercredi;3;3,184210526;83,58333333;86,78947368;0;0;0;0;0
2016-01-20-21;57588904189;2016;1;20;21;mercredi;3;2,102631579;87,48;89,42105263;0;0;0;0;0
2016-01-21-00;55125430374;2016;1;21;0;jeudi;3;1,471052632;92,65217391;90,36842105;0;0;0;0;0
2016-01-21-03;52032657606;2016;1;21;3;jeudi;3;0,672972973;84,52380952;90,59459459;0;0;0;0;0
2016-01-21-06;61380290665;2016;1;21;6;jeudi;3;0,297368421;80,64285714;91,86842105;0;0;0;0;0
2016-01-21-09;64013256432;2016;1;21;9;jeudi;3;1,336842105;81;89,36842105;0;0;0;0;0
2016-01-21-12;61106195344;2016;1;21;12;jeudi;3;4,973684211;68,25;76,81578947;0;0;0;0;0
2016-01-21-15;57278462201;2016;1;21;15;jeudi;3;6,284210526;65,74074074;72,47368421;0;0;0;0;0
2016-01-21-18;62401977443;2016;1;21;18;jeudi;3;3,272972973;71,57142857;84,02702703;0;0;0;0;0
2016-01-21-21;57878140328;2016;1;21;21;jeudi;3;1,845945946;75,1875;87;0;0;0;0;0
2016-01-22-00;55149030351;2016;1;22;0;vendredi;3;1,459459459;87,30769231;88,91891892;0;0;0;0;0
2016-01-22-03;51775243129;2016;1;22;3;vendredi;3;1,116216216;83,45;89,02702703;0;0;0;0;0
2016-01-22-06;60849625684;2016;1;22;6;vendredi;3;1,427027027;87,23076923;89,08108108;0;0;0;0;0
2016-01-22-09;63517292414;2016;1;22;9;vendredi;3;3,560526316;89,36666667;86,10526316;0;0;0;0;0
2016-01-22-12;61526361436;2016;1;22;12;vendredi;3;6,926315789;90,64516129;79,78947368;0;0;0;0;0
2016-01-22-15;57419896078;2016;1;22;15;vendredi;3;7,915789474;93,75;81,86842105;0;0;0;0;0
2016-01-22-18;58956758308;2016;1;22;18;vendredi;3;7,021621622;90,2;87,51351351;0;0;0;0;0
2016-01-22-21;53769802888;2016;1;22;21;vendredi;3;7,078947368;97,53571429;91,10526316;0;0;0;0;0
2016-01-23-00;48812512101;2016;1;23;0;samedi;3;6,947368421;92,76666667;92,68421053;0;0;0;0;0
2016-01-23-03;43273029288;2016;1;23;3;samedi;3;6,65;99,2;94,05263158;0;0;0;0;0
2016-01-23-06;46089479456;2016;1;23;6;samedi;3;6,513157895;89,17142857;94,26315789;0;0;0;0;0
2016-01-23-09;50758041296;2016;1;23;9;samedi;3;7,078947368;94,35294118;93;0;0;0;0;0
2016-01-23-12;50276528223;2016;1;23;12;samedi;3;9,610526316;93,27272727;84,28947368;0;0;0;0;0
2016-01-23-15;46067098853;2016;1;23;15;samedi;3;10,36052632;87,96296296;79,57894737;0;0;0;0;0
2016-01-23-18;51060815432;2016;1;23;18;samedi;3;7,252631579;81,59090909;88,44736842;0;0;0;0;0
2016-01-23-21;49177172432;2016;1;23;21;samedi;3;5,744736842;72,21052632;91,97368421;0;0;0;0;0
2016-01-24-00;47042689115;2016;1;24;0;dimanche;4;5,173684211;91,89473684;92,89473684;0;0;0;0;0
2016-01-24-03;41435413861;2016;1;24;3;dimanche;4;5,007894737;80,57692308;91,94736842;0;0;0;0;0
2016-01-24-06;42392137484;2016;1;24;6;dimanche;4;4,981578947;86,36666667;91;0;0;0;0;0
2016-01-24-09;46543278254;2016;1;24;9;dimanche;4;6,497368421;81,75;87,5;0;0;0;0;0
2016-01-24-12;45380679809;2016;1;24;12;dimanche;4;10,56315789;76,23076923;75,34210526;0;0;0;0;0
2016-01-24-15;40323505908;2016;1;24;15;dimanche;4;12,18157895;72,5;69,5;0;0;0;0;0
2016-01-24-18;47717135164;2016;1;24;18;dimanche;4;8,863157895;70,47619048;79,84210526;0;0;0;0;0
2016-01-24-21;46436708222;2016;1;24;21;dimanche;4;7,468421053;69,6875;81,89473684;0;0;0;0;0
2016-01-25-00;45164518242;2016;1;25;0;lundi;4;6,531578947;49,28571429;82,68421053;0;0;0;0;0
2016-01-25-03;42323485629;2016;1;25;3;lundi;4;5,944736842;74,30769231;84,26315789;0;0;0;0;0
2016-01-25-06;52674308978;2016;1;25;6;lundi;4;5,807894737;46,5;83,73684211;0;0;0;0;0
2016-01-25-09;54669266258;2016;1;25;9;lundi;4;8,071052632;58,04347826;79,10526316;0;0;0;0;0
2016-01-25-12;51504810606;2016;1;25;12;lundi;4;12,43157895;64,77272727;67,26315789;0;0;0;0;0
2016-01-25-15;47829526982;2016;1;25;15;lundi;4;13,51052632;74,31818182;67,84210526;0;0;0;0;0
2016-01-25-18;52861043350;2016;1;25;18;lundi;4;9,897368421;84,375;81,5;0;0;0;0;0
2016-01-25-21;48241618562;2016;1;25;21;lundi;4;8,505263158;83,57142857;86,55263158;0;0;0;0;0
2016-01-26-00;44753860170;2016;1;26;0;mardi;4;7,702631579;79,0625;88,44736842;0;0;0;0;0
2016-01-26-03;41374578302;2016;1;26;3;mardi;4;7,026315789;83,13043478;90,13157895;0;0;0;0;0
2016-01-26-06;51023331856;2016;1;26;6;mardi;4;6,905263158;86,48148148;90,44736842;0;0;0;0;0
